user_id,total_spent,total_products_bought
1,159.98999977111816,3
2,22.0,1
3,402.20000076293945,5
4,148.0,1
5,65.64999961853027,3
6,144.82000350952148,2
7,84.20999908447266,1
8,80.68999862670898,2
9,543.4899864196777,6
11,177.3499984741211,2
12,325.54999923706055,6
13,127.95000076293945,2
15,33.9900016784668,1
16,16.790000915527344,1
17,747.9899864196777,7
18,78.0,2
19,59.950000762939446,1
20,53.96999931335449,2
22,359.87000274658203,4
24,64.9900016784668,2
25,25.0,1
26,29.950000762939453,1
27,60.0,1
29,68.98999977111816,2
30,191.45999717712402,4
32,89.5,1
33,183.19000053405762,5
34,93.94000244140625,3
35,99.98999786376952,1
37,14.239999771118164,1
38,11.899999618530272,1
39,199.03999710083008,5
40,61.98000144958496,2
41,204.0,2
42,7.869999885559082,1
43,412.4300003051758,9
44,134.98999977111816,2
45,111.9900016784668,2
46,187.0,2
48,80.26000022888184,2
49,246.17999649047852,3
50,14.0,1
51,205.52000045776367,2
52,25.0,1
53,125.95000076293945,2
54,169.98999977111816,2
55,29.989999771118164,1
56,15.989999771118164,1
57,13.0,1
59,352.0,3
60,208.9799976348877,7
61,52.98000144958496,2
62,205.82999992370605,2
65,49.9900016784668,1
67,131.0,1
68,70.95000076293945,2
70,177.55999946594238,4
71,47.9900016784668,1
72,106.22999954223633,3
73,341.92999839782715,7
74,222.98999786376953,4
75,11.989999771118164,1
76,67.14000177383423,3
77,322.1699924468994,3
79,16.5,1
80,37.130001068115234,1
81,43.989999771118164,2
83,55.5,2
85,70.0,1
87,180.70000076293945,3
88,41.950000762939446,1
89,43.9900016784668,1
90,131.520001411438,4
91,68.98999977111816,3
92,24.459999084472656,1
94,320.939998626709,7
97,29.989999771118164,1
98,18.0,1
99,155.99000549316406,2
100,10.989999771118164,1
103,49.9900016784668,1
104,259.97999572753906,3
105,212.5599980354309,5
106,198.35000038146973,5
107,22.989999771118164,1
109,28.979999542236328,1
111,150.39000129699707,3
112,68.95999908447266,1
113,59.489999771118164,2
114,72.0,1
115,23.950000762939453,1
118,69.3700008392334,2
119,475.8900146484375,4
120,185.0,2
121,53.03000020980835,3
122,254.21000289916992,3
124,85.98999977111816,2
125,219.0,1
126,160.18000030517578,3
127,260.94000244140625,4
128,179.25,2
129,46.0,1
131,102.7400016784668,2
132,69.94999694824219,1
133,6.949999809265137,1
134,99.37000274658203,2
136,91.95000076293945,2
137,65.48999977111816,2
138,155.64999389648438,2
139,426.4900016784668,6
141,39.95000076293945,2
142,49.5,1
145,144.9800033569336,4
146,66.95999908447266,2
147,296.9700012207031,5
148,230.0,2
149,66.91000175476074,2
151,107.9000015258789,2
152,88.5,1
155,84.45999908447266,1
156,98.59000015258789,2
157,136.0,2
158,688.4699993133545,8
